C:\Users\Lenovo\Anaconda3\envs\MatchByAssignment-2.0\python.exe D:/Desktop/MatchByAssignment-2.0-save_para/MatchByAssignment-2.0-save_para/MatchByAssignment-2.0/dynamic_batch_decision.py
9600 9600
2022-07-14 20:51:10,822 INFO    : Train data size: 9600
LSTM(2, 128)
LSTM(2, 128)
LSTM(3, 128)
LSTM(3, 128)
epoch = 0,  average reward = 314.304
epoch = 0,  average reward = 305.966
epoch = 0,  average reward = 341.780
epoch = 0,  average reward = 320.873
epoch = 0,  average reward = 345.397
epoch = 0,  average reward = 308.298
epoch = 0,  average reward = 297.305
epoch = 0,  average reward = 336.080
epoch = 0,  average reward = 341.968
epoch = 0,  average reward = 340.809
save parameters
epoch = 1,  average reward = 337.301
epoch = 1,  average reward = 336.106
epoch = 1,  average reward = 381.823
epoch = 1,  average reward = 373.528
epoch = 1,  average reward = 326.429
epoch = 1,  average reward = 367.493
epoch = 1,  average reward = 354.911
epoch = 1,  average reward = 340.729
epoch = 1,  average reward = 365.087
epoch = 1,  average reward = 342.083
epoch = 2,  average reward = 375.889
epoch = 2,  average reward = 337.177
epoch = 2,  average reward = 385.996
epoch = 2,  average reward = 402.358
epoch = 2,  average reward = 381.073
epoch = 2,  average reward = 367.057
epoch = 2,  average reward = 347.439
epoch = 2,  average reward = 385.529
epoch = 2,  average reward = 400.284
epoch = 2,  average reward = 396.186
epoch = 3,  average reward = 381.026
epoch = 3,  average reward = 362.255
epoch = 3,  average reward = 381.558
epoch = 3,  average reward = 397.919
epoch = 3,  average reward = 398.307
epoch = 3,  average reward = 381.099
epoch = 3,  average reward = 355.738
epoch = 3,  average reward = 399.534
epoch = 3,  average reward = 438.344
epoch = 3,  average reward = 381.012
epoch = 4,  average reward = 385.288
epoch = 4,  average reward = 394.437
epoch = 4,  average reward = 397.630
epoch = 4,  average reward = 419.453
epoch = 4,  average reward = 381.447
epoch = 4,  average reward = 406.336
epoch = 4,  average reward = 393.852
epoch = 4,  average reward = 389.957
epoch = 4,  average reward = 423.852
epoch = 4,  average reward = 419.814
epoch = 5,  average reward = 471.757
epoch = 5,  average reward = 436.805
epoch = 5,  average reward = 439.072
epoch = 5,  average reward = 401.986
epoch = 5,  average reward = 418.838
epoch = 5,  average reward = 393.988
epoch = 5,  average reward = 397.719
epoch = 5,  average reward = 414.939
epoch = 5,  average reward = 420.113
epoch = 5,  average reward = 440.540
epoch = 6,  average reward = 444.843
epoch = 6,  average reward = 403.490
epoch = 6,  average reward = 438.488
epoch = 6,  average reward = 440.201
epoch = 6,  average reward = 423.639
epoch = 6,  average reward = 440.010
epoch = 6,  average reward = 399.430
epoch = 6,  average reward = 434.649
epoch = 6,  average reward = 460.371
epoch = 6,  average reward = 438.732
epoch = 7,  average reward = 461.330
epoch = 7,  average reward = 422.657
epoch = 7,  average reward = 450.844
epoch = 7,  average reward = 439.917
epoch = 7,  average reward = 456.055
epoch = 7,  average reward = 446.665
epoch = 7,  average reward = 418.771
epoch = 7,  average reward = 444.116
epoch = 7,  average reward = 447.198
epoch = 7,  average reward = 452.957
epoch = 8,  average reward = 452.275
epoch = 8,  average reward = 444.150
epoch = 8,  average reward = 474.346
epoch = 8,  average reward = 415.278
epoch = 8,  average reward = 447.420
epoch = 8,  average reward = 432.932
epoch = 8,  average reward = 429.320
epoch = 8,  average reward = 452.850
epoch = 8,  average reward = 467.628
epoch = 8,  average reward = 474.569
epoch = 9,  average reward = 467.920
epoch = 9,  average reward = 430.018
epoch = 9,  average reward = 477.171
epoch = 9,  average reward = 435.201
epoch = 9,  average reward = 438.437
epoch = 9,  average reward = 443.227
epoch = 9,  average reward = 450.046
epoch = 9,  average reward = 455.786
epoch = 9,  average reward = 497.054
epoch = 9,  average reward = 477.213
epoch = 10,  average reward = 460.640
epoch = 10,  average reward = 443.004
epoch = 10,  average reward = 469.163
epoch = 10,  average reward = 452.707
epoch = 10,  average reward = 458.266
epoch = 10,  average reward = 468.935
epoch = 10,  average reward = 413.213
epoch = 10,  average reward = 440.550
epoch = 10,  average reward = 467.376
epoch = 10,  average reward = 460.439
epoch = 11,  average reward = 485.164
epoch = 11,  average reward = 451.924
epoch = 11,  average reward = 467.876
epoch = 11,  average reward = 470.195
epoch = 11,  average reward = 458.427
epoch = 11,  average reward = 450.431
epoch = 11,  average reward = 454.271
epoch = 11,  average reward = 468.329
epoch = 11,  average reward = 468.235
epoch = 11,  average reward = 467.839
epoch = 12,  average reward = 477.140
epoch = 12,  average reward = 461.300
epoch = 12,  average reward = 485.340
epoch = 12,  average reward = 478.214
epoch = 12,  average reward = 458.033
epoch = 12,  average reward = 481.437
epoch = 12,  average reward = 434.508
epoch = 12,  average reward = 461.387
epoch = 12,  average reward = 486.874
epoch = 12,  average reward = 481.948
epoch = 13,  average reward = 495.457
epoch = 13,  average reward = 495.386
epoch = 13,  average reward = 501.469
epoch = 13,  average reward = 491.647
epoch = 13,  average reward = 461.279
epoch = 13,  average reward = 487.943
epoch = 13,  average reward = 436.395
epoch = 13,  average reward = 472.001
epoch = 13,  average reward = 487.684
epoch = 13,  average reward = 481.688
epoch = 14,  average reward = 489.080
epoch = 14,  average reward = 482.929
epoch = 14,  average reward = 500.903
epoch = 14,  average reward = 485.739
epoch = 14,  average reward = 486.213
epoch = 14,  average reward = 468.529
epoch = 14,  average reward = 449.923
epoch = 14,  average reward = 485.809
epoch = 14,  average reward = 500.270
epoch = 14,  average reward = 498.564
epoch = 15,  average reward = 475.059
epoch = 15,  average reward = 469.127
epoch = 15,  average reward = 499.312
epoch = 15,  average reward = 492.638
epoch = 15,  average reward = 485.507
epoch = 15,  average reward = 472.495
epoch = 15,  average reward = 462.386
epoch = 15,  average reward = 475.931
epoch = 15,  average reward = 488.141
epoch = 15,  average reward = 463.839
epoch = 16,  average reward = 483.907
epoch = 16,  average reward = 476.114
epoch = 16,  average reward = 495.802
epoch = 16,  average reward = 500.803
epoch = 16,  average reward = 486.449
epoch = 16,  average reward = 493.377
epoch = 16,  average reward = 459.693
epoch = 16,  average reward = 498.918
epoch = 16,  average reward = 505.857
epoch = 16,  average reward = 508.433
epoch = 17,  average reward = 485.719
epoch = 17,  average reward = 485.661
epoch = 17,  average reward = 507.459
epoch = 17,  average reward = 480.373
epoch = 17,  average reward = 490.721
epoch = 17,  average reward = 475.553
epoch = 17,  average reward = 466.031
epoch = 17,  average reward = 500.089
epoch = 17,  average reward = 509.891
epoch = 17,  average reward = 505.771
epoch = 18,  average reward = 529.446
epoch = 18,  average reward = 480.885
epoch = 18,  average reward = 517.664
epoch = 18,  average reward = 479.116
epoch = 18,  average reward = 486.493
epoch = 18,  average reward = 482.526
epoch = 18,  average reward = 444.858
epoch = 18,  average reward = 498.363
epoch = 18,  average reward = 502.148
epoch = 18,  average reward = 497.594
epoch = 19,  average reward = 489.815
epoch = 19,  average reward = 486.416
epoch = 19,  average reward = 518.805
epoch = 19,  average reward = 487.914
epoch = 19,  average reward = 491.500
epoch = 19,  average reward = 505.740
epoch = 19,  average reward = 453.092
epoch = 19,  average reward = 497.534
epoch = 19,  average reward = 517.741
epoch = 19,  average reward = 504.374
epoch = 20,  average reward = 502.707
epoch = 20,  average reward = 472.929
epoch = 20,  average reward = 503.232
epoch = 20,  average reward = 479.250
epoch = 20,  average reward = 504.306
epoch = 20,  average reward = 516.400
epoch = 20,  average reward = 459.913
epoch = 20,  average reward = 499.118
epoch = 20,  average reward = 493.680
epoch = 20,  average reward = 495.437
epoch = 21,  average reward = 495.636
epoch = 21,  average reward = 486.032
epoch = 21,  average reward = 526.283
epoch = 21,  average reward = 490.592
epoch = 21,  average reward = 496.007
epoch = 21,  average reward = 489.238
epoch = 21,  average reward = 472.286
epoch = 21,  average reward = 511.754
epoch = 21,  average reward = 504.803
epoch = 21,  average reward = 498.124
epoch = 22,  average reward = 495.120
epoch = 22,  average reward = 479.228
epoch = 22,  average reward = 515.260
epoch = 22,  average reward = 489.823
epoch = 22,  average reward = 499.384
epoch = 22,  average reward = 496.880
epoch = 22,  average reward = 469.164
epoch = 22,  average reward = 496.472
epoch = 22,  average reward = 534.405
epoch = 22,  average reward = 508.998
epoch = 23,  average reward = 505.379
epoch = 23,  average reward = 469.828
epoch = 23,  average reward = 499.327
epoch = 23,  average reward = 495.081
epoch = 23,  average reward = 485.132
epoch = 23,  average reward = 488.995
epoch = 23,  average reward = 484.674
epoch = 23,  average reward = 523.933
epoch = 23,  average reward = 515.949
epoch = 23,  average reward = 517.791
epoch = 24,  average reward = 481.691
epoch = 24,  average reward = 487.087
epoch = 24,  average reward = 508.353
epoch = 24,  average reward = 507.591
epoch = 24,  average reward = 496.102
epoch = 24,  average reward = 503.365
epoch = 24,  average reward = 471.170
epoch = 24,  average reward = 507.657
epoch = 24,  average reward = 503.695
epoch = 24,  average reward = 522.485
epoch = 25,  average reward = 502.013
epoch = 25,  average reward = 474.995
epoch = 25,  average reward = 504.508
epoch = 25,  average reward = 495.497
epoch = 25,  average reward = 491.659
epoch = 25,  average reward = 484.657
epoch = 25,  average reward = 471.227
epoch = 25,  average reward = 490.245
epoch = 25,  average reward = 514.947
epoch = 25,  average reward = 504.360
epoch = 26,  average reward = 487.967
epoch = 26,  average reward = 501.641
epoch = 26,  average reward = 524.124
epoch = 26,  average reward = 482.073
epoch = 26,  average reward = 493.819
epoch = 26,  average reward = 497.408
epoch = 26,  average reward = 466.155
epoch = 26,  average reward = 510.246
epoch = 26,  average reward = 519.332
epoch = 26,  average reward = 501.762
epoch = 27,  average reward = 520.510
epoch = 27,  average reward = 489.501
epoch = 27,  average reward = 534.398
epoch = 27,  average reward = 490.824
epoch = 27,  average reward = 503.713
epoch = 27,  average reward = 513.386
epoch = 27,  average reward = 482.602
epoch = 27,  average reward = 515.955
epoch = 27,  average reward = 517.232
epoch = 27,  average reward = 511.563
epoch = 28,  average reward = 507.725
epoch = 28,  average reward = 506.424
epoch = 28,  average reward = 511.506
epoch = 28,  average reward = 496.858
epoch = 28,  average reward = 506.336
epoch = 28,  average reward = 502.848
epoch = 28,  average reward = 475.951
epoch = 28,  average reward = 513.622
epoch = 28,  average reward = 529.985
epoch = 28,  average reward = 513.878
epoch = 29,  average reward = 530.709
epoch = 29,  average reward = 485.611
epoch = 29,  average reward = 541.903
epoch = 29,  average reward = 501.756
epoch = 29,  average reward = 492.875
epoch = 29,  average reward = 515.210
epoch = 29,  average reward = 472.521
epoch = 29,  average reward = 523.696
epoch = 29,  average reward = 520.347
epoch = 29,  average reward = 509.315
epoch = 30,  average reward = 506.252
epoch = 30,  average reward = 479.173
epoch = 30,  average reward = 520.400
epoch = 30,  average reward = 491.561
epoch = 30,  average reward = 505.833
epoch = 30,  average reward = 502.702
epoch = 30,  average reward = 467.789
epoch = 30,  average reward = 506.144
epoch = 30,  average reward = 516.990
epoch = 30,  average reward = 498.425
epoch = 31,  average reward = 505.681
epoch = 31,  average reward = 493.216
epoch = 31,  average reward = 516.540
epoch = 31,  average reward = 511.007
epoch = 31,  average reward = 492.190
epoch = 31,  average reward = 500.748
epoch = 31,  average reward = 456.524
epoch = 31,  average reward = 521.547
epoch = 31,  average reward = 517.889
epoch = 31,  average reward = 524.443
epoch = 32,  average reward = 524.351
epoch = 32,  average reward = 484.661
epoch = 32,  average reward = 510.677
epoch = 32,  average reward = 489.051
epoch = 32,  average reward = 501.742
epoch = 32,  average reward = 501.331
epoch = 32,  average reward = 477.134
epoch = 32,  average reward = 511.709
epoch = 32,  average reward = 524.752
epoch = 32,  average reward = 505.309
epoch = 33,  average reward = 514.845
epoch = 33,  average reward = 476.754
epoch = 33,  average reward = 516.226
epoch = 33,  average reward = 491.912
epoch = 33,  average reward = 508.858
epoch = 33,  average reward = 508.149
epoch = 33,  average reward = 489.740
epoch = 33,  average reward = 500.288
epoch = 33,  average reward = 518.104
epoch = 33,  average reward = 509.293
epoch = 34,  average reward = 508.394
epoch = 34,  average reward = 472.936
epoch = 34,  average reward = 520.521
epoch = 34,  average reward = 506.677
epoch = 34,  average reward = 507.727
epoch = 34,  average reward = 491.661
epoch = 34,  average reward = 464.835
epoch = 34,  average reward = 507.379
epoch = 34,  average reward = 520.100
epoch = 34,  average reward = 515.526
epoch = 35,  average reward = 509.632
epoch = 35,  average reward = 484.813
epoch = 35,  average reward = 515.517
epoch = 35,  average reward = 497.922
epoch = 35,  average reward = 498.360
epoch = 35,  average reward = 516.798
epoch = 35,  average reward = 473.684
epoch = 35,  average reward = 501.290
epoch = 35,  average reward = 521.036
epoch = 35,  average reward = 515.568
epoch = 36,  average reward = 496.805
epoch = 36,  average reward = 483.822
epoch = 36,  average reward = 527.726
epoch = 36,  average reward = 504.957
epoch = 36,  average reward = 503.693
epoch = 36,  average reward = 515.221
epoch = 36,  average reward = 474.362
epoch = 36,  average reward = 499.065
epoch = 36,  average reward = 522.615
epoch = 36,  average reward = 500.526
epoch = 37,  average reward = 516.511
epoch = 37,  average reward = 495.476
epoch = 37,  average reward = 525.928
epoch = 37,  average reward = 494.750
epoch = 37,  average reward = 503.910
epoch = 37,  average reward = 501.529
epoch = 37,  average reward = 474.215
epoch = 37,  average reward = 512.751
epoch = 37,  average reward = 519.244
epoch = 37,  average reward = 513.022
epoch = 38,  average reward = 511.555
epoch = 38,  average reward = 490.934
epoch = 38,  average reward = 514.872
epoch = 38,  average reward = 492.032
epoch = 38,  average reward = 486.431
epoch = 38,  average reward = 518.553
epoch = 38,  average reward = 477.446
epoch = 38,  average reward = 497.525
epoch = 38,  average reward = 520.500
epoch = 38,  average reward = 500.372
epoch = 39,  average reward = 503.641
epoch = 39,  average reward = 483.993
epoch = 39,  average reward = 523.073
epoch = 39,  average reward = 494.296
epoch = 39,  average reward = 499.266
epoch = 39,  average reward = 512.795
epoch = 39,  average reward = 476.334
epoch = 39,  average reward = 510.544
epoch = 39,  average reward = 526.534
epoch = 39,  average reward = 506.107
epoch = 40,  average reward = 500.192
epoch = 40,  average reward = 502.000
epoch = 40,  average reward = 523.583
epoch = 40,  average reward = 496.725
epoch = 40,  average reward = 499.090
epoch = 40,  average reward = 500.110
epoch = 40,  average reward = 467.898
epoch = 40,  average reward = 501.092
epoch = 40,  average reward = 516.578
epoch = 40,  average reward = 514.132
epoch = 41,  average reward = 502.631
epoch = 41,  average reward = 504.534
epoch = 41,  average reward = 531.594
epoch = 41,  average reward = 474.846
epoch = 41,  average reward = 510.271
epoch = 41,  average reward = 480.164
epoch = 41,  average reward = 477.790
epoch = 41,  average reward = 501.111
epoch = 41,  average reward = 518.859
epoch = 41,  average reward = 506.985
epoch = 42,  average reward = 510.032
epoch = 42,  average reward = 484.241
epoch = 42,  average reward = 513.349
epoch = 42,  average reward = 505.114
epoch = 42,  average reward = 499.495
epoch = 42,  average reward = 522.192
epoch = 42,  average reward = 498.736
epoch = 42,  average reward = 505.941
epoch = 42,  average reward = 526.674
epoch = 42,  average reward = 510.392
epoch = 43,  average reward = 519.093
epoch = 43,  average reward = 490.537
epoch = 43,  average reward = 530.937
epoch = 43,  average reward = 504.516
epoch = 43,  average reward = 510.317
epoch = 43,  average reward = 489.765
epoch = 43,  average reward = 477.650
epoch = 43,  average reward = 513.660
epoch = 43,  average reward = 518.772
epoch = 43,  average reward = 514.801
epoch = 44,  average reward = 513.760
epoch = 44,  average reward = 506.705
epoch = 44,  average reward = 510.289
epoch = 44,  average reward = 503.764
epoch = 44,  average reward = 485.481
epoch = 44,  average reward = 498.501
epoch = 44,  average reward = 472.392
epoch = 44,  average reward = 523.951
epoch = 44,  average reward = 524.581
epoch = 44,  average reward = 513.321
epoch = 45,  average reward = 526.907
epoch = 45,  average reward = 486.061
epoch = 45,  average reward = 521.013
epoch = 45,  average reward = 509.011
epoch = 45,  average reward = 499.591
epoch = 45,  average reward = 507.824
epoch = 45,  average reward = 467.757
epoch = 45,  average reward = 517.164
epoch = 45,  average reward = 517.616
epoch = 45,  average reward = 520.200
epoch = 46,  average reward = 527.401
epoch = 46,  average reward = 495.195
epoch = 46,  average reward = 515.826
epoch = 46,  average reward = 514.430
epoch = 46,  average reward = 489.656
epoch = 46,  average reward = 502.326
epoch = 46,  average reward = 474.952
epoch = 46,  average reward = 508.922
epoch = 46,  average reward = 528.165
epoch = 46,  average reward = 526.948
epoch = 47,  average reward = 514.148
epoch = 47,  average reward = 476.890
epoch = 47,  average reward = 504.984
epoch = 47,  average reward = 508.603
epoch = 47,  average reward = 510.727
epoch = 47,  average reward = 511.608
epoch = 47,  average reward = 464.102
epoch = 47,  average reward = 520.386
epoch = 47,  average reward = 539.830
epoch = 47,  average reward = 517.335
epoch = 48,  average reward = 507.958
epoch = 48,  average reward = 497.520
epoch = 48,  average reward = 523.804
epoch = 48,  average reward = 497.514
epoch = 48,  average reward = 498.880
epoch = 48,  average reward = 512.058
epoch = 48,  average reward = 492.858
epoch = 48,  average reward = 517.483
epoch = 48,  average reward = 523.608
epoch = 48,  average reward = 509.871
epoch = 49,  average reward = 502.708
epoch = 49,  average reward = 491.381
epoch = 49,  average reward = 526.556
epoch = 49,  average reward = 491.120
epoch = 49,  average reward = 504.899
epoch = 49,  average reward = 504.748
epoch = 49,  average reward = 477.962
epoch = 49,  average reward = 505.269
epoch = 49,  average reward = 512.830
epoch = 49,  average reward = 502.341
epoch = 50,  average reward = 513.603
epoch = 50,  average reward = 484.859
epoch = 50,  average reward = 512.838
epoch = 50,  average reward = 483.801
epoch = 50,  average reward = 506.815
epoch = 50,  average reward = 515.514
epoch = 50,  average reward = 481.122
epoch = 50,  average reward = 503.258
epoch = 50,  average reward = 514.778
epoch = 50,  average reward = 513.161
save parameters
epoch = 51,  average reward = 529.384
epoch = 51,  average reward = 503.124
epoch = 51,  average reward = 531.297
epoch = 51,  average reward = 498.167
epoch = 51,  average reward = 504.555
epoch = 51,  average reward = 500.352
epoch = 51,  average reward = 467.949
epoch = 51,  average reward = 507.792
epoch = 51,  average reward = 539.549
epoch = 51,  average reward = 528.116
epoch = 52,  average reward = 489.621
epoch = 52,  average reward = 496.773
epoch = 52,  average reward = 522.453
epoch = 52,  average reward = 498.563
epoch = 52,  average reward = 501.957
epoch = 52,  average reward = 509.711
epoch = 52,  average reward = 459.312
epoch = 52,  average reward = 515.659
epoch = 52,  average reward = 536.803
epoch = 52,  average reward = 521.865
epoch = 53,  average reward = 522.761
epoch = 53,  average reward = 483.626
epoch = 53,  average reward = 517.938
epoch = 53,  average reward = 496.087
epoch = 53,  average reward = 497.661
epoch = 53,  average reward = 508.090
epoch = 53,  average reward = 478.295
epoch = 53,  average reward = 494.015
epoch = 53,  average reward = 502.632
epoch = 53,  average reward = 519.185
epoch = 54,  average reward = 499.996
epoch = 54,  average reward = 507.500
epoch = 54,  average reward = 515.159
epoch = 54,  average reward = 504.285
epoch = 54,  average reward = 504.063
epoch = 54,  average reward = 493.211
epoch = 54,  average reward = 472.502
epoch = 54,  average reward = 519.424
epoch = 54,  average reward = 530.645
epoch = 54,  average reward = 521.120
epoch = 55,  average reward = 526.246
epoch = 55,  average reward = 500.597
epoch = 55,  average reward = 527.133
epoch = 55,  average reward = 504.691
epoch = 55,  average reward = 486.852
epoch = 55,  average reward = 530.523
epoch = 55,  average reward = 489.738
epoch = 55,  average reward = 520.078
epoch = 55,  average reward = 525.645
epoch = 55,  average reward = 513.626
epoch = 56,  average reward = 512.173
epoch = 56,  average reward = 504.616
epoch = 56,  average reward = 535.303
epoch = 56,  average reward = 494.890
epoch = 56,  average reward = 489.680
epoch = 56,  average reward = 502.732
epoch = 56,  average reward = 490.274
epoch = 56,  average reward = 509.481
epoch = 56,  average reward = 513.471
epoch = 56,  average reward = 515.861
epoch = 57,  average reward = 526.203
epoch = 57,  average reward = 500.485
epoch = 57,  average reward = 525.785
epoch = 57,  average reward = 508.590
epoch = 57,  average reward = 500.016
epoch = 57,  average reward = 502.320
epoch = 57,  average reward = 474.018
epoch = 57,  average reward = 506.798
epoch = 57,  average reward = 523.396
epoch = 57,  average reward = 517.344
epoch = 58,  average reward = 514.434
epoch = 58,  average reward = 486.063
epoch = 58,  average reward = 538.741
epoch = 58,  average reward = 498.683
epoch = 58,  average reward = 513.566
epoch = 58,  average reward = 514.358
epoch = 58,  average reward = 483.002
epoch = 58,  average reward = 518.308
epoch = 58,  average reward = 521.359
epoch = 58,  average reward = 515.336
epoch = 59,  average reward = 524.462
epoch = 59,  average reward = 488.236
epoch = 59,  average reward = 515.713
epoch = 59,  average reward = 507.780
epoch = 59,  average reward = 514.497
epoch = 59,  average reward = 515.736
epoch = 59,  average reward = 474.176
epoch = 59,  average reward = 518.160
epoch = 59,  average reward = 528.207
epoch = 59,  average reward = 512.236
epoch = 60,  average reward = 500.367
epoch = 60,  average reward = 495.589
